,bodyId,instance,type,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
0,543702186,aMe26,aMe26,334,393,2836,393,180,650569936,Traced,False,Roughly traced,,376.5,"[202, 25746, 21144]","{'SNP(R)': {'pre': 96, 'post': 101, 'downstream': 862, 'upstream': 101, 'mito': 22, 'dark': 22}, 'SLP(R)': {'pre': 96, 'post': 96, 'downstream': 862, 'upstream': 96, 'mito': 20, 'dark': 20}, 'dACA(R)': {'pre': 58, 'post': 70, 'downstream': 508, 'upstream': 70, 'mito': 10, 'dark': 10}, 'MB(+ACA)(R)': {'pre': 58, 'post': 70, 'downstream': 508, 'upstream': 70, 'mito': 10, 'dark': 10}, 'INP': {'pre': 141, 'post': 124, 'downstream': 1269, 'upstream': 124, 'mito': 35, 'dark': 35}, 'SCL(R)': {'pre': 105, 'post': 81, 'downstream': 928, 'upstream': 81, 'mito': 25, 'dark': 25}, 'SMP(R)': {'post': 5, 'upstream': 5, 'mito': 2, 'dark': 2}, 'SNP(L)': {'pre': 2, 'post': 3, 'downstream': 7, 'upstream': 3, 'mito': 3, 'dark': 3}, 'SMP(L)': {'pre': 2, 'post': 3, 'downstream': 7, 'upstream': 3, 'mito': 3, 'dark': 3}, 'ICL(R)': {'pre': 18, 'post': 24, 'downstream': 156, 'upstream': 24, 'mito': 4, 'dark': 4}, 'SCL(L)': {'pre': 12, 'post': 11, 'downstream': 126, 'upstream': 11, 'mito': 4, 'dark': 4}, 'ICL(L)': {'pre': 6, 'post': 8, 'downstream': 59, 'upstream': 8, 'mito': 2, 'dark': 2}, 'VLNP(R)': {'pre': 81, 'post': 95, 'downstream': 645, 'upstream': 95, 'mito': 29, 'dark': 29}, 'PLP(R)': {'pre': 81, 'post': 95, 'downstream': 645, 'upstream': 95, 'mito': 29, 'dark': 29}, 'OL(R)': {'pre': 10, 'post': 65, 'downstream': 43, 'upstream': 65, 'mito': 13, 'dark': 12, 'medium': 1}, 'AME(R)': {'pre': 6, 'post': 59, 'downstream': 24, 'upstream': 59, 'mito': 9, 'dark': 8, 'medium': 1}, 'ME(R)': {'pre': 4, 'post': 6, 'downstream': 19, 'upstream': 6, 'mito': 4, 'dark': 4}}",,"['AME(R)', 'ICL(L)', 'ICL(R)', 'INP', 'MB(+ACA)(R)', 'ME(R)', 'OL(R)', 'PLP(R)', 'SCL(L)', 'SCL(R)', 'SLP(R)', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)', 'VLNP(R)', 'dACA(R)']","['AME(R)', 'ICL(L)', 'ICL(R)', 'INP', 'MB(+ACA)(R)', 'ME(R)', 'OL(R)', 'PLP(R)', 'SCL(L)', 'SCL(R)', 'SLP(R)', 'SMP(L)', 'SNP(L)', 'SNP(R)', 'VLNP(R)', 'dACA(R)']"
1,632570417,PS123(PDM17)_L,PS123,408,2167,3124,2167,751,3130015157,Traced,False,Roughly traced,,366.0,"[28058, 15234, 9840]","{'SNP(L)': {'post': 117, 'upstream': 117, 'mito': 16, 'dark': 16}, 'SMP(L)': {'post': 117, 'upstream': 117, 'mito': 16, 'dark': 16}, 'INP': {'pre': 16, 'post': 1172, 'downstream': 58, 'upstream': 1172, 'mito': 215, 'dark': 215}, 'ICL(L)': {'post': 133, 'upstream': 133, 'mito': 37, 'dark': 37}, 'SCL(L)': {'post': 4, 'upstream': 4}, 'ATL(L)': {'post': 100, 'upstream': 100, 'mito': 11, 'dark': 11}, 'IB': {'pre': 16, 'post': 935, 'downstream': 58, 'upstream': 935, 'mito': 167, 'dark': 167}, 'VMNP': {'pre': 264, 'post': 852, 'downstream': 2354, 'upstream': 852, 'mito': 237, 'dark': 232, 'light': 3, 'medium': 2}, 'GOR(L)': {'post': 64, 'upstream': 64, 'mito': 14, 'dark': 14}, 'SPS(L)': {'pre': 41, 'post': 522, 'downstream': 124, 'upstream': 522, 'mito': 146, 'dark': 145, 'medium': 1}, 'SPS(R)': {'pre': 201, 'post': 260, 'downstream': 2035, 'upstream': 260, 'mito': 72, 'dark': 68, 'light': 3, 'medium': 1}, 'POC': {'pre': 54, 'post': 16, 'downstream': 201, 'upstream': 16, 'mito': 90, 'dark': 90}, 'IPS(R)': {'pre': 22, 'post': 6, 'downstream': 195, 'upstream': 6, 'mito': 5, 'dark': 5}, 'OL(R)': {'pre': 52, 'post': 3, 'downstream': 442, 'upstream': 3, 'mito': 21, 'dark': 16, 'medium': 5}, 'ME(R)': {'pre': 52, 'post': 3, 'downstream': 442, 'upstream': 3, 'mito': 21, 'dark': 16, 'medium': 5}, 'PENP': {'post': 2, 'upstream': 2, 'mito': 3, 'dark': 3}, 'CAN(R)': {'post': 2, 'upstream': 2, 'mito': 3, 'dark': 3}}",,"['ATL(L)', 'CAN(R)', 'GOR(L)', 'IB', 'ICL(L)', 'INP', 'IPS(R)', 'ME(R)', 'OL(R)', 'PENP', 'POC', 'SCL(L)', 'SMP(L)', 'SNP(L)', 'SPS(L)', 'SPS(R)', 'VMNP']","['IB', 'INP', 'IPS(R)', 'ME(R)', 'OL(R)', 'POC', 'SPS(L)', 'SPS(R)', 'VMNP']"
2,695124651,aMe3,aMe3,1614,1077,12885,1077,713,3292943949,Traced,False,Roughly traced,,586.5,"[11485, 15830, 33000]","{'SNP(R)': {'pre': 138, 'post': 46, 'downstream': 1099, 'upstream': 46, 'mito': 31, 'dark': 15, 'medium': 16}, 'SLP(R)': {'pre': 138, 'post': 46, 'downstream': 1099, 'upstream': 46, 'mito': 31, 'dark': 15, 'medium': 16}, 'dACA(R)': {'pre': 3, 'post': 2, 'downstream': 20, 'upstream': 2, 'mito': 1, 'medium': 1}, 'MB(+ACA)(R)': {'pre': 6, 'post': 3, 'downstream': 45, 'upstream': 3, 'mito': 2, 'medium': 2}, 'VLNP(R)': {'pre': 1316, 'post': 342, 'downstream': 10671, 'upstream': 342, 'mito': 361, 'dark': 171, 'light': 11, 'medium': 179}, 'PLP(R)': {'pre': 1257, 'post': 322, 'downstream': 10307, 'upstream': 322, 'mito': 334, 'dark': 158, 'light': 10, 'medium': 166}, 'INP': {'pre': 22, 'post': 15, 'downstream': 180, 'upstream': 15, 'mito': 9, 'dark': 6, 'medium': 3}, 'ICL(R)': {'pre': 22, 'post': 15, 'downstream': 180, 'upstream': 15, 'mito': 9, 'dark': 6, 'medium': 3}, 'vACA(R)': {'pre': 3, 'post': 1, 'downstream': 25, 'upstream': 1, 'mito': 1, 'medium': 1}, 'AOT(R)': {'pre': 1, 'downstream': 10}, 'AVLP(R)': {'pre': 43, 'post': 13, 'downstream': 272, 'upstream': 13, 'mito': 10, 'dark': 2, 'light': 1, 'medium': 7}, 'OL(R)': {'pre': 81, 'post': 635, 'downstream': 572, 'upstream': 635, 'mito': 159, 'dark': 106, 'light': 2, 'medium': 51}, 'LO(R)': {'pre': 26, 'post': 6, 'downstream': 192, 'upstream': 6, 'mito': 8, 'dark': 3, 'medium': 5}, 'ME(R)': {'pre': 2, 'post': 30, 'downstream': 6, 'upstream': 30, 'mito': 38, 'dark': 26, 'medium': 12}, 'AME(R)': {'pre': 53, 'post': 599, 'downstream': 374, 'upstream': 599, 'mito': 113, 'dark': 77, 'light': 2, 'medium': 34}, 'POC': {'pre': 2, 'post': 9, 'downstream': 7, 'upstream': 9, 'mito': 11, 'dark': 4, 'medium': 7}, 'PVLP(R)': {'pre': 16, 'post': 6, 'downstream': 92, 'upstream': 6, 'mito': 7, 'dark': 1, 'medium': 6}, 'WED(R)': {'post': 1, 'upstream': 1, 'mito': 10, 'dark': 10}}",,"['AME(R)', 'AVLP(R)', 'ICL(R)', 'INP', 'LO(R)', 'MB(+ACA)(R)', 'ME(R)', 'OL(R)', 'PLP(R)', 'POC', 'PVLP(R)', 'SLP(R)', 'SNP(R)', 'VLNP(R)', 'WED(R)', 'dACA(R)', 'vACA(R)']","['AME(R)', 'AOT(R)', 'AVLP(R)', 'ICL(R)', 'INP', 'LO(R)', 'MB(+ACA)(R)', 'ME(R)', 'OL(R)', 'PLP(R)', 'POC', 'PVLP(R)', 'SLP(R)', 'SNP(R)', 'VLNP(R)', 'dACA(R)', 'vACA(R)']"
3,730709173,OA-ASM1_R,OA-ASM1,723,2119,2970,2119,1134,3364691131,Traced,False,Roughly traced,ADM02,417.0,"[22314, 33165, 10424]","{'SNP(R)': {'pre': 11, 'post': 1035, 'downstream': 29, 'upstream': 1035, 'mito': 340, 'dark': 283, 'light': 19, 'medium': 38}, 'SMP(R)': {'pre': 6, 'post': 682, 'downstream': 17, 'upstream': 682, 'mito': 198, 'dark': 162, 'light': 13, 'medium': 23}, 'SLP(R)': {'pre': 2, 'post': 169, 'downstream': 4, 'upstream': 169, 'mito': 69, 'dark': 58, 'light': 2, 'medium': 9}, 'INP': {'pre': 10, 'post': 486, 'downstream': 26, 'upstream': 486, 'mito': 214, 'dark': 166, 'light': 22, 'medium': 26}, 'SCL(R)': {'pre': 4, 'post': 279, 'downstream': 11, 'upstream': 279, 'mito': 123, 'dark': 105, 'light': 5, 'medium': 13}, 'SIP(R)': {'pre': 3, 'post': 184, 'downstream': 8, 'upstream': 184, 'mito': 73, 'dark': 63, 'light': 4, 'medium': 6}, 'ATL(R)': {'pre': 2, 'post': 10, 'downstream': 4, 'upstream': 10, 'mito': 1, 'light': 1}, 'VLNP(R)': {'pre': 5, 'post': 22, 'downstream': 16, 'upstream': 22, 'mito': 25, 'dark': 23, 'medium': 2}, 'AOTU(R)': {'post': 7, 'upstream': 7, 'mito': 7, 'dark': 6, 'medium': 1}, 'SNP(L)': {'pre': 1, 'downstream': 2, 'mito': 6, 'dark': 6}, 'SMP(L)': {'pre': 1, 'downstream': 2, 'mito': 6, 'dark': 6}, 'CRE(R)': {'post': 3, 'upstream': 3, 'mito': 2, 'dark': 2}, 'CRE(-ROB,-RUB)(R)': {'post': 3, 'upstream': 3, 'mito': 2, 'dark': 2}, 'ICL(R)': {'pre': 4, 'post': 145, 'downstream': 11, 'upstream': 145, 'mito': 70, 'dark': 46, 'light': 15, 'medium': 9}, 'PLP(R)': {'pre': 5, 'post': 11, 'downstream': 16, 'upstream': 11, 'mito': 14, 'dark': 13, 'medium': 1}, 'AVLP(R)': {'post': 4, 'upstream': 4, 'mito': 4, 'dark': 4}, 'OL(R)': {'pre': 672, 'post': 563, 'downstream': 2849, 'upstream': 563, 'mito': 287, 'dark': 193, 'light': 13, 'medium': 81}, 'LO(R)': {'pre': 669, 'post': 560, 'downstream': 2840, 'upstream': 560, 'mito': 284, 'dark': 192, 'light': 13, 'medium': 79}, 'IB': {'post': 49, 'upstream': 49, 'mito': 16, 'dark': 11, 'light': 1, 'medium': 4}, 'VMNP': {'post': 9, 'upstream': 9, 'mito': 6, 'dark': 3, 'medium': 3}, 'GOR(R)': {'post': 7, 'upstream': 7, 'mito': 3, 'dark': 2, 'medium': 1}, 'SPS(R)': {'post': 2, 'upstream': 2, 'mito': 3, 'dark': 1, 'medium': 2}, 'POC': {'pre': 1, 'downstream': 2, 'mito': 3, 'dark': 3}, 'ME(R)': {'pre': 3, 'post': 3, 'downstream': 9, 'upstream': 3, 'mito': 2, 'dark': 1, 'medium': 1}}",,"['AOTU(R)', 'ATL(R)', 'AVLP(R)', 'CRE(-ROB,-RUB)(R)', 'CRE(R)', 'GOR(R)', 'IB', 'ICL(R)', 'INP', 'LO(R)', 'ME(R)', 'OL(R)', 'PLP(R)', 'SCL(R)', 'SIP(R)', 'SLP(R)', 'SMP(R)', 'SNP(R)', 'SPS(R)', 'VLNP(R)', 'VMNP']","['ATL(R)', 'ICL(R)', 'INP', 'LO(R)', 'ME(R)', 'OL(R)', 'PLP(R)', 'POC', 'SCL(R)', 'SIP(R)', 'SLP(R)', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)', 'VLNP(R)']"
4,791527493,5-HTPMPV03_L,5-HTPMPV03,4679,4922,14350,4922,2465,9747295326,Traced,False,Roughly traced,,310.5,"[32853, 10358, 22216]","{'SNP(L)': {'pre': 27, 'post': 190, 'downstream': 96, 'upstream': 190, 'mito': 50, 'dark': 47, 'medium': 3}, 'SMP(L)': {'pre': 27, 'post': 190, 'downstream': 96, 'upstream': 190, 'mito': 50, 'dark': 47, 'medium': 3}, 'SNP(R)': {'pre': 75, 'post': 147, 'downstream': 241, 'upstream': 147, 'mito': 39, 'dark': 33, 'light': 3, 'medium': 3}, 'SLP(R)': {'pre': 2, 'post': 2, 'downstream': 7, 'upstream': 2, 'mito': 1, 'dark': 1}, 'dACA(R)': {'pre': 2, 'post': 9, 'downstream': 8, 'upstream': 9, 'mito': 1, 'dark': 1}, 'MB(+ACA)(R)': {'pre': 2, 'post': 9, 'downstream': 8, 'upstream': 9, 'mito': 1, 'dark': 1}, 'INP': {'pre': 750, 'post': 1891, 'downstream': 2483, 'upstream': 1891, 'mito': 480, 'dark': 461, 'light': 8, 'medium': 11}, 'SCL(R)': {'pre': 40, 'post': 129, 'downstream': 149, 'upstream': 129, 'mito': 43, 'dark': 37, 'light': 4, 'medium': 2}, 'SMP(R)': {'pre': 73, 'post': 145, 'downstream': 234, 'upstream': 145, 'mito': 38, 'dark': 32, 'light': 3, 'medium': 3}, 'ATL(L)': {'pre': 40, 'post': 137, 'downstream': 142, 'upstream': 137, 'mito': 27, 'dark': 26, 'medium': 1}, 'ATL(R)': {'pre': 48, 'post': 84, 'downstream': 151, 'upstream': 84, 'mito': 22, 'dark': 20, 'medium': 2}, 'SCL(L)': {'pre': 13, 'post': 71, 'downstream': 34, 'upstream': 71, 'mito': 20, 'dark': 20}, 'ICL(R)': {'pre': 179, 'post': 329, 'downstream': 666, 'upstream': 329, 'mito': 86, 'dark': 82, 'light': 2, 'medium': 2}, 'ICL(L)': {'pre': 23, 'post': 185, 'downstream': 72, 'upstream': 185, 'mito': 31, 'dark': 30, 'medium': 1}, 'VLNP(R)': {'pre': 1401, 'post': 877, 'downstream': 4333, 'upstream': 877, 'mito': 441, 'dark': 416, 'light': 4, 'medium': 21}, 'PLP(R)': {'pre': 901, 'post': 643, 'downstream': 2814, 'upstream': 643, 'mito': 292, 'dark': 268, 'light': 4, 'medium': 20}, 'LH(R)': {'pre': 5, 'post': 4, 'downstream': 15, 'upstream': 4, 'mito': 1, 'medium': 1}, 'IB': {'pre': 407, 'post': 956, 'downstream': 1269, 'upstream': 956, 'mito': 251, 'dark': 246, 'light': 2, 'medium': 3}, 'OL(R)': {'pre': 559, 'post': 339, 'downstream': 1826, 'upstream': 339, 'mito': 203, 'dark': 183, 'light': 6, 'medium': 14}, 'LO(R)': {'pre': 545, 'post': 336, 'downstream': 1790, 'upstream': 336, 'mito': 192, 'dark': 174, 'light': 6, 'medium': 12}, 'VMNP': {'pre': 1272, 'post': 1185, 'downstream': 3782, 'upstream': 1185, 'mito': 522, 'dark': 508, 'light': 1, 'medium': 13}, 'SPS(R)': {'pre': 779, 'post': 630, 'downstream': 2362, 'upstream': 630, 'mito': 299, 'dark': 290, 'medium': 9}, 'LX(R)': {'pre': 91, 'post': 60, 'downstream': 276, 'upstream': 60, 'mito': 34, 'dark': 31, 'medium': 3}, 'LAL(R)': {'pre': 91, 'post': 60, 'downstream': 276, 'upstream': 60, 'mito': 34, 'dark': 31, 'medium': 3}, 'LAL(-GA)(R)': {'pre': 91, 'post': 60, 'downstream': 276, 'upstream': 60, 'mito': 34, 'dark': 31, 'medium': 3}, 'PVLP(R)': {'pre': 3, 'downstream': 12, 'mito': 1, 'dark': 1}, 'GOR(L)': {'pre': 1, 'post': 4, 'downstream': 2, 'upstream': 4, 'mito': 2, 'dark': 2}, 'GOR(R)': {'pre': 1, 'post': 5, 'downstream': 4, 'upstream': 5, 'mito': 2, 'dark': 2}, 'SPS(L)': {'pre': 128, 'post': 388, 'downstream': 372, 'upstream': 388, 'mito': 88, 'dark': 86, 'medium': 2}, 'EPA(R)': {'pre': 43, 'post': 15, 'downstream': 131, 'upstream': 15, 'mito': 12, 'dark': 11, 'light': 1}, 'VES(R)': {'pre': 24, 'post': 10, 'downstream': 69, 'upstream': 10, 'mito': 12, 'dark': 12}, 'POC': {'pre': 85, 'post': 42, 'downstream': 205, 'upstream': 42, 'mito': 81, 'dark': 75, 'light': 1, 'medium': 5}, 'GC': {'pre': 1, 'downstream': 2}, 'IPS(R)': {'pre': 296, 'post': 133, 'downstream': 842, 'upstream': 133, 'mito': 107, 'dark': 105, 'medium': 2}, 'WED(R)': {'pre': 497, 'post': 234, 'downstream': 1507, 'upstream': 234, 'mito': 148, 'dark': 147, 'medium': 1}, 'AME(R)': {'pre': 3, 'post': 2, 'downstream': 6, 'upstream': 2, 'mito': 2, 'dark': 2}, 'PENP': {'pre': 44, 'post': 43, 'downstream': 137, 'upstream': 43, 'mito': 26, 'dark': 26}, 'CAN(R)': {'pre': 40, 'post': 39, 'downstream': 128, 'upstream': 39, 'mito': 25, 'dark': 25}, 'ME(R)': {'pre': 11, 'post': 1, 'downstream': 30, 'upstream': 1, 'mito': 9, 'dark': 7, 'medium': 2}, 'GNG': {'pre': 264, 'post': 119, 'downstream': 730, 'upstream': 119, 'mito': 93, 'dark': 91, 'light': 1, 'medium': 1}, 'SAD': {'pre': 4, 'post': 4, 'downstream': 9, 'upstream': 4, 'mito': 1, 'dark': 1}, 'AMMC': {'pre': 4, 'post': 4, 'downstream': 9, 'upstream': 4, 'mito': 1, 'dark': 1}}",,"['AME(R)', 'AMMC', 'ATL(L)', 'ATL(R)', 'CAN(R)', 'EPA(R)', 'GNG', 'GOR(L)', 'GOR(R)', 'IB', 'ICL(L)', 'ICL(R)', 'INP', 'IPS(R)', 'LAL(-GA)(R)', 'LAL(R)', 'LH(R)', 'LO(R)', 'LX(R)', 'MB(+ACA)(R)', 'ME(R)', 'OL(R)', 'PENP', 'PLP(R)', 'POC', 'SAD', 'SCL(L)', 'SCL(R)', 'SLP(R)', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)', 'SPS(L)', 'SPS(R)', 'VES(R)', 'VLNP(R)', 'VMNP', 'WED(R)', 'dACA(R)']","['AME(R)', 'AMMC', 'ATL(L)', 'ATL(R)', 'CAN(R)', 'EPA(R)', 'GC', 'GNG', 'GOR(L)', 'GOR(R)', 'IB', 'ICL(L)', 'ICL(R)', 'INP', 'IPS(R)', 'LAL(-GA)(R)', 'LAL(R)', 'LH(R)', 'LO(R)', 'LX(R)', 'MB(+ACA)(R)', 'ME(R)', 'OL(R)', 'PENP', 'PLP(R)', 'POC', 'PVLP(R)', 'SAD', 'SCL(L)', 'SCL(R)', 'SLP(R)', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)', 'SPS(L)', 'SPS(R)', 'VES(R)', 'VLNP(R)', 'VMNP', 'WED(R)', 'dACA(R)']"
5,974843875,aMe10(lVLPT9)_R,aMe10,65,405,500,405,129,431852295,Traced,False,Roughly traced,,380.0,"[3020, 29704, 28768]","{'SNP(L)': {'pre': 6, 'post': 5, 'downstream': 57, 'upstream': 5, 'mito': 6, 'dark': 6}, 'SMP(L)': {'pre': 6, 'post': 5, 'downstream': 57, 'upstream': 5, 'mito': 6, 'dark': 6}, 'SNP(R)': {'pre': 7, 'post': 2, 'downstream': 61, 'upstream': 2, 'mito': 3, 'dark': 3}, 'SMP(R)': {'pre': 7, 'post': 2, 'downstream': 61, 'upstream': 2, 'mito': 3, 'dark': 3}, 'INP': {'pre': 1, 'post': 4, 'downstream': 2, 'upstream': 4, 'mito': 4, 'dark': 4}, 'SCL(R)': {'pre': 1, 'post': 4, 'downstream': 2, 'upstream': 4, 'mito': 3, 'dark': 3}, 'VLNP(R)': {'pre': 46, 'post': 175, 'downstream': 360, 'upstream': 175, 'mito': 42, 'dark': 39, 'medium': 3}, 'PLP(R)': {'pre': 46, 'post': 175, 'downstream': 360, 'upstream': 175, 'mito': 42, 'dark': 39, 'medium': 3}, 'OL(R)': {'pre': 3, 'post': 169, 'downstream': 16, 'upstream': 169, 'mito': 35, 'dark': 35}, 'ME(R)': {'pre': 3, 'post': 16, 'downstream': 16, 'upstream': 16, 'mito': 9, 'dark': 9}, 'POC': {'post': 18, 'upstream': 18, 'mito': 5, 'dark': 5}, 'AME(R)': {'post': 153, 'upstream': 153, 'mito': 26, 'dark': 26}}",,"['AME(R)', 'INP', 'ME(R)', 'OL(R)', 'PLP(R)', 'POC', 'SCL(R)', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)', 'VLNP(R)']","['INP', 'ME(R)', 'OL(R)', 'PLP(R)', 'SCL(R)', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)', 'VLNP(R)']"
6,1129033939,PLP179_R,PLP179,1136,395,11142,395,410,2752889832,Traced,False,Roughly traced,PVL09,716.5,"[9544, 9826, 29896]","{'INP': {'pre': 155, 'post': 61, 'downstream': 1567, 'upstream': 61, 'mito': 36, 'dark': 34, 'light': 2}, 'SCL(R)': {'pre': 8, 'post': 2, 'downstream': 86, 'upstream': 2, 'mito': 2, 'dark': 2}, 'ICL(R)': {'pre': 117, 'post': 44, 'downstream': 1171, 'upstream': 44, 'mito': 28, 'dark': 26, 'light': 2}, 'IB': {'pre': 30, 'post': 15, 'downstream': 310, 'upstream': 15, 'mito': 6, 'dark': 6}, 'VLNP(R)': {'pre': 774, 'post': 244, 'downstream': 7779, 'upstream': 244, 'mito': 143, 'dark': 137, 'light': 1, 'medium': 5}, 'PLP(R)': {'pre': 688, 'post': 225, 'downstream': 6901, 'upstream': 225, 'mito': 129, 'dark': 125, 'light': 1, 'medium': 3}, 'VMNP': {'pre': 70, 'post': 12, 'downstream': 768, 'upstream': 12, 'mito': 10, 'dark': 10}, 'SPS(R)': {'pre': 70, 'post': 12, 'downstream': 768, 'upstream': 12, 'mito': 10, 'dark': 10}, 'OL(R)': {'pre': 100, 'post': 43, 'downstream': 749, 'upstream': 43, 'mito': 31, 'dark': 28, 'light': 1, 'medium': 2}, 'LOP(R)': {'pre': 94, 'post': 24, 'downstream': 730, 'upstream': 24, 'mito': 24, 'dark': 24}, 'POC': {'pre': 1, 'downstream': 3, 'mito': 3, 'dark': 3}, 'WED(R)': {'pre': 86, 'post': 19, 'downstream': 878, 'upstream': 19, 'mito': 14, 'dark': 12, 'medium': 2}, 'ME(R)': {'pre': 6, 'post': 19, 'downstream': 19, 'upstream': 19, 'mito': 6, 'dark': 3, 'light': 1, 'medium': 2}, 'GNG': {'pre': 20, 'post': 2, 'downstream': 208, 'upstream': 2, 'mito': 4, 'dark': 4}}",,"['GNG', 'IB', 'ICL(R)', 'INP', 'LOP(R)', 'ME(R)', 'OL(R)', 'PLP(R)', 'SCL(R)', 'SPS(R)', 'VLNP(R)', 'VMNP', 'WED(R)']","['GNG', 'IB', 'ICL(R)', 'INP', 'LOP(R)', 'ME(R)', 'OL(R)', 'PLP(R)', 'POC', 'SCL(R)', 'SPS(R)', 'VLNP(R)', 'VMNP', 'WED(R)']"
7,1158528396,(PVF3)_R,,155,449,844,449,146,760951819,Traced,False,Roughly traced,,365.0,"[11055, 15745, 32192]","{'OL(R)': {'pre': 155, 'post': 447, 'downstream': 844, 'upstream': 447, 'mito': 116, 'dark': 98, 'light': 2, 'medium': 16}, 'LO(R)': {'pre': 144, 'post': 443, 'downstream': 765, 'upstream': 443, 'mito': 111, 'dark': 96, 'light': 2, 'medium': 13}, 'ME(R)': {'pre': 11, 'post': 4, 'downstream': 79, 'upstream': 4, 'mito': 5, 'dark': 2, 'medium': 3}}",,"['LO(R)', 'ME(R)', 'OL(R)']","['LO(R)', 'ME(R)', 'OL(R)']"
8,1158631810,aMe5,aMe5,246,188,1611,188,98,291147127,Traced,False,Roughly traced,,,,"{'VLNP(R)': {'pre': 121, 'post': 101, 'downstream': 866, 'upstream': 101, 'mito': 42, 'dark': 38, 'light': 1, 'medium': 3}, 'PLP(R)': {'pre': 121, 'post': 101, 'downstream': 866, 'upstream': 101, 'mito': 42, 'dark': 38, 'light': 1, 'medium': 3}, 'vACA(R)': {'pre': 1, 'downstream': 8}, 'MB(+ACA)(R)': {'pre': 1, 'downstream': 8}, 'VMNP': {'pre': 43, 'post': 36, 'downstream': 286, 'upstream': 36, 'mito': 12, 'dark': 12}, 'GOR(R)': {'pre': 13, 'post': 7, 'downstream': 89, 'upstream': 7, 'mito': 2, 'dark': 2}, 'SPS(R)': {'pre': 30, 'post': 29, 'downstream': 197, 'upstream': 29, 'mito': 10, 'dark': 10}, 'INP': {'pre': 4, 'post': 1, 'downstream': 36, 'upstream': 1, 'mito': 1, 'dark': 1}, 'IB': {'pre': 4, 'post': 1, 'downstream': 36, 'upstream': 1, 'mito': 1, 'dark': 1}, 'POC': {'pre': 6, 'post': 9, 'downstream': 26, 'upstream': 9, 'mito': 11, 'dark': 11}, 'OL(R)': {'pre': 68, 'post': 33, 'downstream': 367, 'upstream': 33, 'mito': 27, 'dark': 26, 'medium': 1}, 'AME(R)': {'pre': 58, 'post': 31, 'downstream': 323, 'upstream': 31, 'mito': 25, 'dark': 24, 'medium': 1}, 'ME(R)': {'pre': 10, 'post': 2, 'downstream': 44, 'upstream': 2, 'mito': 2, 'dark': 2}}",,"['AME(R)', 'GOR(R)', 'IB', 'INP', 'ME(R)', 'OL(R)', 'PLP(R)', 'POC', 'SPS(R)', 'VLNP(R)', 'VMNP']","['AME(R)', 'GOR(R)', 'IB', 'INP', 'MB(+ACA)(R)', 'ME(R)', 'OL(R)', 'PLP(R)', 'POC', 'SPS(R)', 'VLNP(R)', 'VMNP', 'vACA(R)']"
9,1159262075,aMe5,aMe5,262,183,1734,183,113,296679313,Traced,False,Roughly traced,,,,"{'INP': {'pre': 12, 'post': 12, 'downstream': 93, 'upstream': 12, 'mito': 5, 'dark': 5}, 'SCL(R)': {'pre': 4, 'post': 2, 'downstream': 32, 'upstream': 2, 'mito': 1, 'dark': 1}, 'VLNP(R)': {'pre': 135, 'post': 101, 'downstream': 965, 'upstream': 101, 'mito': 48, 'dark': 46, 'medium': 2}, 'PLP(R)': {'pre': 135, 'post': 101, 'downstream': 965, 'upstream': 101, 'mito': 48, 'dark': 46, 'medium': 2}, 'ICL(R)': {'pre': 5, 'post': 3, 'downstream': 39, 'upstream': 3, 'mito': 1, 'dark': 1}, 'VMNP': {'pre': 50, 'post': 38, 'downstream': 344, 'upstream': 38, 'mito': 15, 'dark': 15}, 'GOR(R)': {'pre': 22, 'post': 13, 'downstream': 152, 'upstream': 13, 'mito': 5, 'dark': 5}, 'SPS(R)': {'pre': 28, 'post': 25, 'downstream': 192, 'upstream': 25, 'mito': 10, 'dark': 10}, 'IB': {'pre': 3, 'post': 7, 'downstream': 22, 'upstream': 7, 'mito': 3, 'dark': 3}, 'POC': {'pre': 10, 'post': 4, 'downstream': 30, 'upstream': 4, 'mito': 9, 'dark': 9}, 'OL(R)': {'pre': 48, 'post': 24, 'downstream': 268, 'upstream': 24, 'mito': 26, 'dark': 24, 'medium': 2}, 'AME(R)': {'pre': 47, 'post': 23, 'downstream': 261, 'upstream': 23, 'mito': 23, 'dark': 21, 'medium': 2}, 'ME(R)': {'pre': 1, 'post': 1, 'downstream': 7, 'upstream': 1, 'mito': 3, 'dark': 3}}",,"['AME(R)', 'GOR(R)', 'IB', 'ICL(R)', 'INP', 'ME(R)', 'OL(R)', 'PLP(R)', 'POC', 'SCL(R)', 'SPS(R)', 'VLNP(R)', 'VMNP']","['AME(R)', 'GOR(R)', 'IB', 'ICL(R)', 'INP', 'ME(R)', 'OL(R)', 'PLP(R)', 'POC', 'SCL(R)', 'SPS(R)', 'VLNP(R)', 'VMNP']"
